id relation id
0 0 12386
0 0 12387
0 0 12388
0 0 12389
1 0 12390
1 0 12391
1 0 12392
1 0 12393
2 0 12394
2 0 12395
2 0 12396
2 0 12397
2 0 12398
3 0 12399
3 0 12400
3 0 12401
3 0 12402
4 0 12403
4 0 12404
4 0 12405
4 0 12406
4 0 12407
5 0 12408
6 0 12409
6 0 12410
6 0 12411
6 0 12412
6 0 12413
7 0 12414
7 0 12415
7 0 12416
7 0 12417
7 0 12418
8 0 12419
8 0 12420
9 0 12421
9 0 12422
9 0 12423
9 0 12424
10 0 12425
11 0 12426
11 0 12427
11 0 12428
11 0 12429
11 0 12430
12 0 12431
12 0 12432
12 0 12433
12 0 12434
12 0 12435
13 0 12436
13 0 12437
13 0 12438
14 0 12439
14 0 12440
14 0 12441
14 0 12442
14 0 12443
15 0 12444
15 0 12445
15 0 12446
15 0 12447
16 0 12448
16 0 12449
17 0 12450
17 0 12451
17 0 12452
17 0 12453
18 0 12454
18 0 12455
18 0 12456
18 0 12457
18 0 12458
19 0 12459
19 0 12460
19 0 12461
19 0 12462
20 0 12463
21 0 12464
21 0 12465
21 0 12466
21 0 12467
22 0 12468
22 0 12469
22 0 12470
23 0 12471
24 0 12472
25 0 12473
25 0 12474
25 0 12475
25 0 12476
26 0 12477
27 0 12478
28 0 12479
29 0 12480
29 0 12481
29 0 12482
29 0 12483
31 0 12484
31 0 12485
31 0 12486
31 0 12487
31 0 12488
32 0 12489
33 0 12490
33 0 12491
33 0 12492
33 0 12493
33 0 12494
34 0 12490
34 0 12491
34 0 12492
34 0 12493
34 0 12495
35 0 12496
35 0 12497
35 0 12498
35 0 12499
36 0 12496
36 0 12497
36 0 12498
38 0 12500
39 0 12406
39 0 12501
39 0 12502
39 0 12503
40 0 12504
40 0 12505
40 0 12506
41 0 12507
41 0 12508
41 0 12509
41 0 12510
42 0 12511
42 0 12512
42 0 12513
42 0 12514
42 0 12515
43 0 12516
43 0 12517
43 0 12518
43 0 12519
43 0 12520
44 0 12521
44 0 12522
44 0 12523
44 0 12524
45 0 12525
45 0 12526
46 0 12527
46 0 12528
47 0 12529
48 0 12530
49 0 12531
50 0 12532
50 0 12533
50 0 12534
50 0 12535
50 0 12536
51 0 12537
51 0 12538
52 0 12539
52 0 12513
52 0 12540
53 0 12541
53 0 12542
54 0 12543
55 0 12544
55 0 12545
55 0 12546
55 0 12547
56 0 12548
57 0 12549
57 0 12550
57 0 12551
57 0 12552
57 0 12553
58 0 12554
58 0 12555
58 0 12556
58 0 12557
59 0 12558
59 0 12559
59 0 12560
59 0 12561
60 0 12562
60 0 12563
60 0 12564
60 0 12565
61 0 12566
61 0 12567
61 0 12568
62 0 12569
63 0 12570
63 0 12571
63 0 12403
63 0 12572
63 0 12573
64 0 12574
64 0 12575
66 0 12576
66 0 12514
66 0 12577
66 0 12578
66 0 12579
67 0 12580
68 0 12581
69 0 12582
69 0 12583
69 0 12584
70 0 12585
70 0 12586
70 0 12587
70 0 12588
70 0 12589
71 0 12590
71 0 12403
71 0 12591
71 0 12592
71 0 12593
72 0 12594
72 0 12595
72 0 12596
72 0 12597
73 0 12598
73 0 12599
73 0 12600
73 0 12601
74 0 12602
74 0 12603
74 0 12604
74 0 12605
75 0 12606
77 0 12607
77 0 12608
77 0 12609
77 0 12610
77 0 12611
78 0 12473
78 0 12612
78 0 12535
78 0 12613
79 0 12614
80 0 12615
81 0 12616
82 0 12617
82 0 12618
82 0 12619
82 0 12620
83 0 12621
85 0 12622
85 0 12623
85 0 12624
85 0 12625
86 0 12626
86 0 12627
87 0 12628
88 0 12415
88 0 12629
88 0 12630
88 0 12631
89 0 12632
89 0 12633
89 0 12634
89 0 12635
89 0 12636
90 0 12637
90 0 12638
90 0 12639
90 0 12640
90 0 12641
91 0 12426
91 0 12427
91 0 12428
91 0 12429
91 0 12642
92 0 12624
92 0 12643
92 0 12644
92 0 12645
92 0 12646
93 0 12647
93 0 12648
93 0 12649
94 0 12401
95 0 12650
95 0 12651
95 0 12652
96 0 12653
96 0 12654
96 0 12655
97 0 12656
98 0 12657
